車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
BL9,4WD,4635,1730,1425,2670,150,1410,5,レガシィB4,2.5i アーバンセレクション (4AT),4G,R,対4,SOHC,2457,130,229,64,EAT,215/45R17,13.0,5.4,2525250 ,セダン,legacy_b4_ov.jpg,legacy_b4_drv.jpg
BLE,4WD,4635,1730,1425,2670,150,1470,5,レガシィB4,3.0R (5AT),4G,P,対6,DOHC,2999,184,304,64,EAT,215/45R17,11.6,5.4,3076500 ,セダン,legacy_b4_ov.jpg,legacy_b4_drv.jpg
BLE,4WD,4635,1730,1435,2670,160,1480,5,レガシィB4,3.0R SI-Cruise　(5AT),4G,P,対6,DOHC,2999,184,304,64,EAT,215/45R17,11.6,5.4,3297000 ,セダン,legacy_b4_ov.jpg,legacy_b4_drv.jpg
SG5,4WD,4485,1735,1590,2525,205,1370,5,フォレスター,2.0X (5MT),4G,R,対4,SOHC,1994,103,186,50,MT,215/60R16,13.6,5.4,1974000 ,SUV,forester_ov.jpg,forester_drv.jpg
SG5,4WD,4455,1735,1590,2525,205,1420,5,フォレスター,2.0AIRBREAK (4AT),4G,R,対4,SOHC,1994,103,186,50,EAT,215/55R17,13.0,5.4,2278500 ,SUV,forester_ov.jpg,forester_drv.jpg
SG5,4WD,4455,1735,1550,2525,175,1420,5,フォレスター,クロススポーツ 2.0i (4AT),4G,R,対4,SOHC,1994,103,186,50,EAT,215/55R17,13.0,5.4,2184000 ,SUV,forester_ov.jpg,forester_drv.jpg
SG5,4WD,4485,1735,1590,2525,205,1400,5,フォレスター,LLBeanエディション (4AT),4G,R,対4,SOHC,1994,103,186,50,EAT,215/55R17,13.0,5.4,2404500 ,SUV,forester_ov.jpg,forester_drv.jpg
BP9,4WD,4730,1770,1545,2670,200,1440,5,アウトパック,2.5i (4AT),4G,R,対4,SOHC,2457,130,229,64,EAT,215/55R17,13.0,5.4,2688000 ,SUV,outback_ov.jpg,outback_drv.jpg
BPE,4WD,4730,1770,1545,2670,200,1520,5,アウトパック,3.0R (5AT),4G,P,対6,DOHC,2999,184,304,64,EAT,215/55R17,11.0,5.4,3234000 ,SUV,outback_ov.jpg,outback_drv.jpg
BPE,4WD,4730,1770,1545,2670,200,1520,5,アウトパック,3.0R SI-Cruise　(5AT),4G,P,対6,DOHC,2999,184,304,64,EAT,215/55R17,11.0,5.4,3459750 ,SUV,outback_ov.jpg,outback_drv.jpg
RN1,FR,3395,1475,1645,2360,155,860,4,ステラ,L (CVT),4G,R,直4,DOHC,658,40,63,30,CVT,155/65R14,23.0,4.7,940800 ,軽自動車,stella_ov.jpg,stella_drv.jpg
RN2,4WD,3395,1475,1645,2360,155,910,4,ステラ,LX 4WD (CVT),4G,R,直4,DOHC,658,40,63,30,CVT,155/65R14,21.5,4.7,1216950 ,軽自動車,stella_ov.jpg,stella_drv.jpg
RN1,FR,3395,1475,1645,2360,155,870,4,ステラ,カスタム G (CVT),4G,R,直4,DOHC,658,40,63,30,CVT,155/65R14,23.0,4.7,1123500 ,軽自動車,stella_ov.jpg,stella_drv.jpg
RN1,FR,3395,1475,1645,2360,155,870,4,ステラ,カスタム R (CVT),4G,R,直4,DOHC,658,40,63,30,CVT,155/65R14,23.0,4.7,1239000 ,軽自動車,stella_ov.jpg,stella_drv.jpg
RN1,FR,3395,1475,1645,2360,155,890,4,ステラ,カスタム RS (CVT),4G,R,直4,DOHC,658,47,93,30,CVT,155/65R14,18.8,4.7,1428000 ,軽自動車,stella_ov.jpg,stella_drv.jpg
RN2,4WD,3395,1475,1645,2360,155,930,4,ステラ,カスタム RS 4WD (CVT),4G,R,直4,DOHC,658,47,93,30,CVT,155/65R14,18.0,4.7,1537200 ,軽自動車,stella_ov.jpg,stella_drv.jpg
RJ1,FF,3285,1475,1510,2195,160,830,4,R1,S (M-CVT),4G,R,直4,DOHC,658,47,93,30,M-CVT,155/60R15,19.4,4.5,1428000 ,軽自動車,r1_ov.jpg,r1_drv.jpg
RJ2,4WD,3285,1475,1510,2195,160,830,4,R1,R 4WD (M-CVT),4G,R,直4,DOHC,658,40,63,30,CVT,155/60R15,22.5,4.5,1379700 ,軽自動車,r1_ov.jpg,r1_drv.jpg
RC1,FF,3395,1475,1520,2360,155,810,4,R2,Refi (CVT),4G,R,直4,SOHC,658,34,58,30,CVT,155/65R14,23.0,4.7,945000 ,軽自動車,r2_ov.jpg,r2_drv.jpg
RC1,FF,3395,1475,1525,2360,160,840,4,R2,タイプS (M-CVT),4G,R,直4,DOHC,658,47,93,30,M-CVT,155/60R15,19.4,4.8,1422750 ,軽自動車,r2_ov.jpg,r2_drv.jpg
RC1,FF,3395,1475,1520,2360,155,780,4,R2,F (5MT),4G,R,直4,SOHC,658,34,58,30,MT,155/65R14,23.0,4.7,766500 ,軽自動車,r2_ov.jpg,r2_drv.jpg
RC2,4WD,3395,1475,1520,2360,155,860,4,R2,R 4WD (CVT),4G,R,直4,DOHC,658,40,63,30,CVT,155/65R14,22.5,4.7,1190700 ,軽自動車,r2_ov.jpg,r2_drv.jpg
RC2,4WD,3395,1475,1520,2360,160,880,4,R2,タイプS 4WD (M-CVT),4G,R,直4,DOHC,658,47,93,30,M-CVT,155/60R15,18.6,4.8,1531950 ,軽自動車,r2_ov.jpg,r2_drv.jpg
NSP120X,FF,3990,1695,1585,2550,145,1090,5,トレジア,1.3i (CVT),4G,R,直4,DOHC,1496,70,121,42,CVT,175/60R16,20.0,4.9,1428000 ,コンパクト,,
NSP120X,FF,3990,1695,1585,2550,145,1090,5,トレジア,1.3i-S (CVT),4G,R,直4,DOHC,1496,70,121,42,CVT,175/60R16,20.0,4.9,1680000 ,コンパクト,,
NCP120X,FF,3990,1695,1585,2550,145,1110,5,トレジア,1.5i-L (M-CVT),4G,R,直4,DOHC,1496,80,138,42,M-CVT,175/60R16,20.0,4.9,1690000 ,コンパクト,,
NCP120X,FF,3990,1695,1585,2550,145,1170,5,トレジア,1.5i タイプユーロ  (M-CVT),4G,R,直4,DOHC,1496,80,138,42,M-CVT,185/60R16,20.0,4.9,1832000 ,コンパクト,,
M401F,FF,3800,1696,1635,2540,150,1335,5,デックス,1.3i (4AT),4G,R,直4,DOHC,1297,68,123,40,EAT,175/65R14,16.4,4.9,1438000 ,コンパクト,,
M401F,FF,3800,1696,1635,2540,150,1335,5,デックス,1.3i-L (4AT),4G,R,直4,DOHC,1297,68,123,40,EAT,185/55R15,16.4,4.9,1604400 ,コンパクト,,
