車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
NCEC,FR,3995,1720,1245,2330,135,1110,2,ロードスター,VS (6AT),4G,P,直4,DOHC,1998,122,189,50,EAT,205/50R16,11.8,4.7,2600000 ,スペシャリティ,roadster_ov.jpg,roadster_drv.jpg
NCEC,FR,3995,1720,1255,2330,135,1140,2,ロードスター,RHT (6AT),4G,P,直4,DOHC,1998,122,189,50,EAT,205/50R16,11.8,4.7,2500000 ,スペシャリティ,roadster_ov.jpg,roadster_drv.jpg
NCEC,FR,3995,1720,1255,2330,135,1140,2,ロードスター,RS RHT (6MT),4G,P,直4,DOHC,1998,125,189,50,MT,205/45R17,13.0,4.7,2700000 ,スペシャリティ,roadster_ov.jpg,roadster_drv.jpg
NCEC,FR,3995,1720,1255,2330,135,1140,2,ロードスター,VS RHT (6AT),4G,P,直4,DOHC,1998,122,189,50,EAT,205/50R16,11.8,4.7,2800000 ,スペシャリティ,roadster_ov.jpg,roadster_drv.jpg
SE3P,FR,4435,1770,1340,2700,135,1310,4,RX-8,(5MT),4RoG,P,直2,,1308,154,222,61,MT,225/55R16,10.0,5.3,2530500 ,スペシャリティ,rx8_ov.jpg,rx8_drv.jpg
SE3P,FR,4435,1770,1340,2700,135,1340,4,RX-8,(6AT),4RoG,P,直2,,1308,158,216,61,EAT,225/55R16,9.0,5.3,2532000 ,スペシャリティ,rx8_ov.jpg,rx8_drv.jpg
SE3P,FR,4435,1770,1340,2700,135,1340,4,RX-8,タイプE (6AT),4RoG,P,直2,,1308,158,216,61,EAT,225/55R16,9.0,5.3,2929500 ,スペシャリティ,rx8_ov.jpg,rx8_drv.jpg
SE3P,FR,4435,1770,1340,2700,135,1310,4,RX-8,タイプ S (6MT),4RoG,P,直2,,1308,184,216,61,MT,225/45R18,9.4,5.3,2898000 ,スペシャリティ,rx8_ov.jpg,rx8_drv.jpg
HB24S,FF,3395,1475,1500,2360,150,730,4,キャロル,GⅡ(5MT),4G,R,直3,DOHC,658,40,61,30,MT,155/65R13,24.0,4.1,811650 ,軽自動車,alto_ov.jpg,alto_drv.jpg
HB24S,FF,3395,1475,1500,2360,150,770,4,キャロル,X (3AT),4G,R,直3,DOHC,658,40,61,30,AT,155/65R13,21.5,4.1,1005900 ,軽自動車,alto_ov.jpg,alto_drv.jpg
HB24S,4WD,3395,1475,1500,2360,150,820,4,キャロル,X 4WD (4AT),4G,R,直3,DOHC,658,40,61,30,AT,155/65R13,19.8,4.1,1134000 ,軽自動車,alto_ov.jpg,alto_drv.jpg
HF21S,FF,3395,1475,1505,2360,155,790,4,スピアーノ,GS (4AT),4G,R,直3,DOHC,658,40,63,30,AT,155/65R13,19.8,4.2,1030050 ,軽自動車,lapin_ov.jpg,lapin_drv.jpg
HF21S,FF,3395,1475,1505,2360,155,790,4,スピアーノ,XS (4AT),4G,R,直3,DOHC,658,40,63,30,AT,155/65R13,19.8,4.2,1174950 ,軽自動車,lapin_ov.jpg,lapin_drv.jpg
HF21S,4WD,3395,1475,1505,2360,150,850,4,スピアーノ,GS 4WD (4AT),4G,R,直3,DOHC,658,47,106,30,AT,165/55R14,16.4,4.6,1389150 ,軽自動車,lapin_ov.jpg,lapin_drv.jpg
MJ22S,FF,3395,1475,1645,2360,150,810,4,AZワゴン,FX (5MT),4G,R,直3,DOHC,658,40,63,30,MT,155/65R13,23.5,4.1,924000 ,軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
MJ22S,FF,3395,1475,1635,2360,145,830,4,AZワゴン,FT-S スペシャル (4AT),4G,R,直3,DOHC,658,44,83,30,AT,165/55R14,18.8,4.4,1299900 ,軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
MJ22S,4WD,3395,1475,1655,2360,150,870,4,AZワゴン,FA 4WD (4AT),4G,R,直3,DOHC,658,40,63,30,AT,155/65R14,18.8,4.4,1052100 ,軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
MJ22S,4WD,3395,1475,1645,2360,145,880,4,AZワゴン,FT-S スペシャル4WD (4AT),4G,R,直3,DOHC,658,40,63,30,AT,155/65R14,18.8,4.4,1417500 ,軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
DG64W,FF,3395,1475,1880,2400,155,930,4,スクラムワゴン,ハイルーフ PX (3AT),4G,R,直3,DOHC,658,36,63,40,AT,155/70R13,15.8,4.5,1244250 ,軽自動車,every_wagon_ov.jpg,
DG64W,4WD,3395,1475,1795,2400,150,1010,4,スクラムワゴン,ロールーフ PZ ターボ 4WD  (3AT),4G,R,直3,DOHC,658,47,103,40,AT,155/70R13,15.0,4.5,1638000 ,軽自動車,every_wagon_ov.jpg,
JM23W,4WD,3395,1475,1715,2250,200,990,4,AZオフロード,XC 4WD (5MT),4G,R,直3,DOHC,658,47,103,40,MT,175/80R16,16.4,4.8,1472100 ,軽自動車,jimny_ov.jpg,
JM23W,4WD,3395,1475,1715,2250,200,1000,4,AZオフロード,XC 4WD (4AT),4G,R,直3,DOHC,658,47,103,40,AT,175/80R16,14.8,4.8,1580250 ,軽自動車,jimny_ov.jpg,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
